endTime,artistName,trackName,msPlayed
2019-06-12 13:56,Rosario Dawson,Seasons of Love,182746
2019-06-12 13:58,Blues Traveler,Hook,113186
2019-06-12 19:25,Rob Scallon,Summer,0
2019-06-12 19:32,Rob Scallon,Summer,156595
2019-06-12 19:35,Rob Scallon,Summer,180034
2019-06-12 19:35,Buckethead,The Way to Heaven,4133
2019-06-12 19:37,Evan Brewer,Actualize,17577
2019-06-12 19:37,Pomegranate Tiger,Ovation,2972
2019-06-12 19:37,Rob Scallon,Rain,125027
2019-06-12 19:38,David Maxim Micic,Nobody's Perfect,13467
2019-06-12 19:39,Rob Scallon,Somewhere to Run To,3436
2019-06-12 19:39,Chon,Fall,1671
2019-06-12 19:39,Animals As Leaders,The Brain Dance,83034
2019-06-12 19:41,Andrew Huang,Know You,93297
2019-06-12 22:40,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version,365466
2019-06-12 22:46,Ronald Reggae,Jamaican Rhapsody,367878
2019-06-12 22:50,Lou Bega,Mambo No. 5 (a Little Bit of...),220293
2019-06-12 22:57,Los Cafres,Boys Don't Cry,2229
2019-06-12 22:57,Car Seat Headrest,Drunk Drivers/Killer Whales,5201
2019-06-12 22:57,Car Seat Headrest,Bodys,389041
2019-06-12 22:59,Unknown Artist,Unknown Track,109040
2019-06-13 13:42,Matt Simons,Catch & Release - Deepend Remix,1532
2019-06-13 13:48,Eric Johnson,Cliffs of Dover - Live,373320
2019-06-13 13:48,Talking Heads,And She Was - 2005 Remaster,32645
2019-06-13 13:52,Talking Heads,Give Me Back My Name - 2005 Remaster,4147
2019-06-13 13:52,Talking Heads,And She Was - 2005 Remaster,195219
2019-06-13 13:56,Talking Heads,Creatures of Love - 2005 Remaster,255800
2019-06-13 13:56,Talking Heads,Road to Nowhere - Early Version,6898
2019-06-13 13:57,Talking Heads,Happy Day - 2005 Remaster,76997
2019-06-13 14:02,Talking Heads,Pulled Up - 2005 Remaster,271346
2019-06-13 14:04,Talking Heads,First Week / Last Week....Carefree - 2005 Remaster,133871
2019-06-13 23:41,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,1386
2019-06-13 23:41,Post Malone,Psycho (feat. Ty Dolla $ign),221440
2019-06-13 23:41,Post Malone,Up There,6655
2019-06-13 23:44,Post Malone,Too Young,746
2019-06-13 23:44,Post Malone,Better Now,167295
2019-06-13 23:47,Post Malone,rockstar (feat. 21 Savage),218151
2019-06-13 23:48,Post Malone,Spoil My Night (feat. Swae Lee),0
2019-06-13 23:48,Post Malone,Feeling Whitney,0
2019-06-13 23:48,Post Malone,I Fall Apart,9657
2019-06-13 23:48,Post Malone,Stay,40362
2019-06-13 23:48,Post Malone,Stay,320
2019-06-14 09:46,Ciro y los Persas,Antes y Después,2275
2019-06-14 09:46,Red Hot Chili Peppers,Parallel Universe,0
2019-06-14 09:46,Fort Atlantic,Let Your Heart Hold Fast,998
2019-06-14 09:46,Talking Heads,Don't Worry About the Government - 2005 Remaster,0
2019-06-14 10:03,Eric Mandarina,El Lavarropas,1416
2019-06-14 10:03,Talking Heads,Road to Nowhere - 2005 Remaster,696
2019-06-14 10:03,Desireless,Voyage voyage,4109
2019-06-14 10:06,Imagine Dragons,Radioactive,186813
2019-06-14 10:08,The Drums,Money,10309
2019-06-14 10:08,Tay Zonday,Chocolate Rain,2182
2019-06-14 10:08,Various Artists,Old Time Rock N' Roll(as made famous by Bob Segar),905
2019-06-14 10:08,Panic! At The Disco,Miss Jackson (feat. LOLO),0
2019-06-14 10:08,Falco,Rock Me Amadeus - The Gold Mix,1068
2019-06-14 10:08,Susan Egan,I Won't Say (I'm In Love),2391
2019-06-14 10:08,Iron Maiden,The Trooper - 2015 Remaster,125645
2019-06-14 10:14,Duran Duran,Ordinary World,340200
2019-06-14 10:18,The Bangles,Eternal Flame,238026
2019-06-14 11:31,Duran Duran,Pressure Off (feat. Janelle Monáe and Nile Rodgers),42510
2019-06-14 11:35,Post Malone,Jonestown (Interlude),19733
2019-06-14 11:35,Rusted Root,Send Me on My Way,789
2019-06-14 11:35,Post Malone,Psycho (feat. Ty Dolla $ign),221440
2019-06-14 11:42,Eric Johnson,Cliffs of Dover - Live,373320
2019-06-14 11:42,Kool & The Gang,Get Down On It,22103
2019-06-14 11:43,Imagine Dragons,Thunder,1857
2019-06-14 11:43,Bruno Mars,24K Magic,2043
2019-06-14 11:43,U2,Pride (In The Name Of Love) - Remastered 2009,1114
2019-06-14 11:43,Opus,Live Is Life (digitally remastered) - Single Version,3900
2019-06-14 11:43,Cheryl Freeman,The Gospel Truth I / Main Titles - Hercules,4551
2019-06-14 11:43,Van Halen,Hot for Teacher - 2004 Remaster,2229
2019-06-14 11:43,War,Low Rider,24241
2019-06-14 11:43,Duran Duran,Hungry Like the Wolf - 2009 Remaster,54427
2019-06-14 11:44,El Mató a un Policía Motorizado,Más o Menos Bien,6965
2019-06-14 11:44,GIT,Es Por Amor,1950
2019-06-14 11:44,Madonna,Material Girl,19992
2019-06-14 11:44,La Portuaria,Un Dia Cualquiera (El Bar De La Calle Rodney),6965
2019-06-14 11:49,Fito Paez,El amor después del amor,311893
2019-06-14 11:52,Soda Stereo,Té para Tres,144306
2019-06-14 11:57,Soda Stereo,Nada Personal - Remasterizado 2007,292573
2019-06-14 12:01,Patricio Rey y sus Redonditos de Ricota,Masacre en el Puticlub,285493
2019-06-14 12:04,Los Abuelos De La Nada,Mil Horas,167066
2019-06-14 12:07,La Portuaria,Selva,187220
2019-06-14 15:47,Los Fabulosos Cadillacs,Matador - Remasterizado 2008,275893
2019-06-14 15:50,Los Enanitos Verdes,Lamento Boliviano,222226
2019-06-14 16:05,Los Rodriguez,Dulce condena - Edición Aniversario,280920
2019-06-14 16:08,Los Abuelos De La Nada,Así Es El Calor,157066
2019-06-14 16:12,Los Pericos,Runaway,233267
2019-06-14 17:24,Catupecu Machu,Magia Veneno,27598
2019-06-14 17:28,Post Malone,rockstar (feat. 21 Savage),218146
2019-06-14 17:31,Post Malone,Psycho (feat. Ty Dolla $ign),221440
2019-06-14 17:35,Post Malone,Over Now,92018
2019-06-14 17:37,Post Malone,Sugar Wraith,905
2019-06-14 17:38,Ozuna,Si Te Dejas Llevar (feat. Juanka),975
2019-06-14 17:38,MAGIC!,Rude,2438
2019-06-14 17:38,Coldplay,Hymn for the Weekend - Seeb Remix,998
2019-06-14 17:38,Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",859
2019-06-14 17:38,Maluma,Borro Cassette,1068
2019-06-14 17:38,Clean Bandit,Rather Be (feat. Jess Glynne),1114
2019-06-14 17:38,Post Malone,Zack And Codeine,5433
2019-06-14 17:43,Rae Sremmurd,Black Beatles,291893
2019-06-14 17:46,Alesso,Heroes (we could be),210013
2019-06-14 17:50,Rihanna,We Found Love,215226
2019-06-14 17:54,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),235613
2019-06-14 17:58,ZAYN,PILLOWTALK,202746
2019-06-14 18:02,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),251088
2019-06-14 18:05,Shawn Mendes,Treat You Better,187973
2019-06-14 18:05,Coldplay,Adventure of a Lifetime,301
2019-06-14 18:05,Marka Akme,Mata,17403
2019-06-14 18:05,Skrillex,Bangarang (feat. Sirah),2205
2019-06-14 18:10,Coldplay,Adventure of a Lifetime,263786
2019-06-14 18:10,Skrillex,Bangarang (feat. Sirah),5459
2019-06-14 18:10,El Villano,Amigo,1091
2019-06-14 18:10,Marama,Bronceado,882
2019-06-14 18:13,John Newman,Love Me Again,6598
2019-06-14 18:13,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,197933
2019-06-14 18:17,The Chainsmokers,Don't Let Me Down (feat. Daya),208373
2019-06-14 18:20,Thalía,Desde Esa Noche (feat. Maluma),4369
2019-06-14 18:20,Major Lazer,Lean On (feat. MØ & DJ Snake),176561
2019-06-14 18:22,Carlitos Rossy,Quien Dijo Amigos?,105418
2019-06-14 18:22,Calvin Harris,How Deep Is Your Love - DJ Snake Remix,557
2019-06-14 18:22,Gorillaz,Clint Eastwood,3390
2019-06-14 18:27,Gorillaz,Clint Eastwood,340920
2019-06-14 18:28,Calvin Harris,How Deep Is Your Love - DJ Snake Remix,17885
2019-06-14 18:28,Marama,Loquita,4458
2019-06-14 18:31,DJ Snake,Let Me Love You,205946
2019-06-14 18:36,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",288600
2019-06-14 18:40,Justin Bieber,Love Yourself,233720
2019-06-14 18:42,El Super Hobby,Chica Brasileña,147960
2019-06-14 18:45,Alan Walker,Alone,161200
2019-06-14 18:49,Cheat Codes,No Promises (feat. Demi Lovato),223503
2019-06-14 18:52,Gorillaz,Feel Good Inc.,222640
2019-06-14 18:56,Calvin Harris,Blame (feat. John Newman),212960
2019-06-14 18:59,Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,208316
2019-06-14 19:00,Grupo Play,Quiero Verte Bailar,975
2019-06-14 19:00,El Villano,Chica Real,23946
2019-06-14 19:03,Maroon 5,One More Night,204405
2019-06-14 19:07,WALK THE MOON,Shut Up and Dance,199080
2019-06-14 19:11,Rombai,Curiosidad,2739
2019-06-14 19:11,Avicii,Broken Arrows,38463
2019-06-14 19:11,DJ Luian,La Ocasión,650
2019-06-14 19:11,Avicii,Wake Me Up,247426
2019-06-14 19:12,Nicky Jam,Hasta el Amanecer,1323
2019-06-14 19:12,Rombai,Locuras contigo,626
2019-06-14 19:12,Meghan Trainor,All About That Bass,1300
2019-06-14 19:12,Rombai,Adios,882
2019-06-14 19:12,Kale “La Evolución”,Casa sola,928
2019-06-14 19:17,OneRepublic,Counting Stars,257386
2019-06-14 19:21,Calvin Harris,Outside (feat. Ellie Goulding),227266
2019-06-14 19:25,Calvin Harris,Summer,222533
2019-06-14 23:22,Capital Cities,Safe And Sound,157533
2019-06-14 23:30,Ronald Reggae,Jamaican Rhapsody,132352
2019-06-14 23:32,Bibio,lovers’ carvings,1578
2019-06-14 23:32,Chorus - Hercules,Zero To Hero,78421
2019-06-14 23:32,The Police,Synchronicity II,725
2019-06-14 23:32,Nirvana,Heart-Shaped Box,1791
2019-06-14 23:32,Stevie Wonder,Superstition - Single Version,704
2019-06-14 23:32,New Radicals,You Get What You Give,938
2019-06-14 23:32,ABBA,Take A Chance On Me,2730
2019-06-14 23:32,CHIC,Le Freak - 2018 Remaster,661
2019-06-14 23:34,Keane,Bend & Break,725
2019-06-14 23:34,Van Halen,Ain't Talkin' 'Bout Love - 2015 Remaster,576
2019-06-14 23:34,Frank Sinatra,My Way,2901
2019-06-14 23:34,Green Day,Basket Case,575
2019-06-14 23:34,Daft Punk,Robot Rock,1152
2019-06-14 23:34,Bruno Mars,Locked out of Heaven,78250
2019-06-14 23:34,Duran Duran,A View to a Kill,640
2019-06-14 23:34,Babasónicos,El Loco,1258
2019-06-14 23:34,Sting,Englishman In New York,3029
2019-06-14 23:34,Oasis,Live Forever,533
2019-06-14 23:34,Lily Allen,Fuck You,682
2019-06-14 23:34,Ozzy Osbourne,Crazy Train,554
2019-06-14 23:37,Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,201493
2019-06-14 23:41,Ozuna,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],981
2019-06-14 23:41,Alexio,"Tumba La Casa (Remix) [feat. Daddy Yankee, Nicky Jam, Farruko, Arcangel, De La Ghetto, Zion & Ñengo Flow]",618
2019-06-14 23:41,Panic! At The Disco,Girls / Girls / Boys,206840
2019-06-14 23:41,Marama,Noche Loca,3978
2019-06-14 23:41,Marama,Nena,853
2019-06-15 09:53,J Alvarez,La Pregunta,855
2019-06-15 09:53,Post Malone,Psycho (feat. Ty Dolla $ign),221440
2019-06-15 10:45,Post Malone,Psycho (feat. Ty Dolla $ign),278
2019-06-15 10:45,Post Malone,rockstar (feat. 21 Savage),131317
2019-06-15 13:28,Post Malone,rockstar (feat. 21 Savage),218146
2019-06-15 13:32,Maroon 5,Misery,216200
2019-06-15 13:35,Justin Bieber,What Do You Mean?,205680
2019-06-15 13:39,G-Eazy,"Me, Myself & I",9273
2019-06-15 13:39,Sebastian Yatra,Traicionera,229386
2019-06-15 13:39,Los Nota Lokos,La Mas Linda del Salón,789
2019-06-15 13:43,Post Malone,Psycho (feat. Ty Dolla $ign),221440
2019-06-15 13:57,The Chainsmokers,Closer,233124
2019-06-15 14:36,Post Malone,Psycho (feat. Ty Dolla $ign),468544
2019-06-15 14:37,CNCO,Reggaetón Lento (Bailemos),13371
2019-06-15 14:41,Post Malone,rockstar (feat. 21 Savage),200713
2019-06-15 14:44,Billie Eilish,lovely (with Khalid),170852
2019-06-15 15:58,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",199139
2019-06-15 16:02,Fito Paez,Dar Es Dar,7468
2019-06-15 16:02,Fito Paez,Mariposa tecknicolor,223093
2019-06-15 16:06,Fito Paez,Tema de Piluso,250933
2019-06-15 16:48,Serú Girán,Peperina,15859
2019-06-15 16:48,Fito Paez,11 Y 6,107207
2019-06-15 16:52,Nicky Jam,El Amante,734
2019-06-15 16:52,Maluma,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",766
2019-06-15 16:52,Maroon 5,Sugar,235493
2019-06-15 16:56,Maroon 5,Payphone,206518
2019-06-16 17:29,Billie Eilish,lovely (with Khalid),266427
2019-06-16 17:30,Calvin Harris,Rollin (feat. Future & Khalid),54693
2019-06-16 17:59,Billie Eilish,lovely (with Khalid),35946
2019-06-16 18:06,Eric Johnson,Cliffs of Dover - Live,373320
2019-06-16 18:06,Blur,Song 2 - 2012 Remaster,6429
2019-06-16 18:06,Babasónicos,La Lanza,1230
2019-06-16 18:06,Los Auténticos Decadentes,Un Osito de Peluche de Taiwán,580
2019-06-16 18:10,Las Pelotas,Personalmente,250357
2019-06-16 18:14,Ciro y los Persas,Astros,251546
2019-06-16 18:15,Serú Girán,Encuentro Con El Diablo - Remastered,45945
2019-06-16 18:16,Fito Paez,Y dale alegría a mi corazón,62833
2019-06-16 18:16,Los Rodriguez,Buena Suerte,766
2019-06-16 18:16,Los Siete Delfines,Dale Salida,1625
2019-06-16 18:19,Los Rodriguez,Buena Suerte,199066
2019-06-16 18:23,Los Rodriguez,Engánchate conmigo,1230
2019-06-16 18:23,Los Enanitos Verdes,El Extraño del Pelo Largo,1068
2019-06-16 18:23,La Zimbabwe,Verano Del '57,580
2019-06-16 18:23,La Beriso,Ella,673
2019-06-16 18:23,Tan Bionica,Beautiful,1509
2019-06-16 18:23,Divididos,Como un Cuento,534
2019-06-16 18:23,Divididos,Como un Cuento,232
